Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations	S1Mutations	S2Mutations	S3Mutations
0.000000	0	0	0	0	0	0	72	72	511	1	1.000000	0.000088	0.000000	0.001953	0	0	0	0	0	0
10.013690	0	0	1136	9	964	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	136	59	55	24
10.013690	1	0	1527	6	1249	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	146	59	59	31
10.013690	2	0	2015	3	1918	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	113	48	39	27
10.013690	3	0	1417	6	1390	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	134	59	46	32
10.013690	4	0	1999	32	1907	1	72	72	218	1	1.550333	0.000088	0.000000	0.574219	2	0	160	61	71	30
10.013690	5	0	1877	1	1813	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	158	65	56	38
10.013690	6	0	1828	81	1797	1	72	72	218	1	1.523480	0.000088	0.000000	0.574219	2	0	136	53	55	30
10.013690	7	0	1949	1	1910	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	141	58	54	30
10.013690	8	0	1993	14	1732	9	72	72	218	1	1.681001	0.000088	0.000000	0.574219	3	0	162	73	62	30
10.013690	9	0	1267	32	1151	1	72	72	218	1	1.550333	0.000088	0.000000	0.574219	2	0	134	48	61	27
10.013690	10	0	2043	30	1834	6	72	72	218	1	1.519968	0.000088	0.000000	0.574219	4	0	126	59	45	26
10.013690	11	0	1501	20	1434	0	72	72	218	1	1.075048	0.000088	0.000000	0.574219	1	0	100	39	41	21
10.013690	12	0	1939	1	1783	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	115	50	52	14
10.013690	13	0	2018	51	1747	1	72	72	218	1	1.500797	0.000088	0.000000	0.574219	2	0	127	48	54	27
10.013690	14	0	1609	70	1386	1	72	72	218	1	1.607391	0.000088	0.000000	0.574219	2	0	117	49	48	22
10.013690	15	0	1922	51	1858	1	72	72	218	1	1.500797	0.000088	0.000000	0.574219	2	0	133	48	59	28
10.013690	16	0	1707	9	1443	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	146	56	64	28
10.013690	17	0	1119	11	931	4	72	72	218	1	1.549311	0.000088	0.000000	0.574219	3	0	103	43	39	24
10.013690	18	0	2047	30	1517	6	72	72	218	1	1.519968	0.000088	0.000000	0.574219	4	0	128	59	43	30
10.013690	19	0	1924	9	1770	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	150	62	59	31
10.013690	20	0	2061	4	1862	3	72	72	218	1	1.362411	0.000088	0.000000	0.574219	2	0	146	51	58	39
10.013690	21	0	1562	1	758	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	112	47	41	25
10.013690	22	0	1931	3	1672	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	105	55	27	24
10.013690	23	0	1787	1	1228	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	79	35	28	17
