Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	S1(MeanNum)	S2(MeanNum)	S3(MeanNum)	VarS1	VarS2	VarS3	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.003713	1	1	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	1	1	1	1	1	3	1	3	1	0	0	0	0	0	0	0	0	0	0
2.004118	1	2	2	0	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	1	1	1	1	1	3	1	4	1	0	0	0	0	0	0	0	0	0	0
3.006495	5	6	2	0	5.400000	0.000000	3.040000	0.000000	0.600000	0.400000	0.000000	0.000000	1.200000	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	5	5	1	1	1	10	1	11	5	0	0	0	0	0	0	0	0	0	0
4.006933	6	9	4	0	7.000000	0.000000	5.000000	0.000000	0.833333	0.166667	0.000000	0.000000	0.833333	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	5	5	1	1	1	12	1	15	6	0	0	0	0	0	0	0	0	0	0
5.008259	5	13	9	0	6.000000	0.000000	5.200000	0.000000	0.600000	0.600000	0.000000	0.000000	3.200000	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	5	5	1	1	1	16	1	21	5	0	0	0	0	0	0	0	0	0	0
6.015148	8	21	14	0	5.125000	0.000000	2.359375	0.000000	0.250000	1.625000	0.000000	0.000000	3.875000	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	8	8	1	1	1	20	1	30	8	0	0	0	0	0	0	0	0	0	0
7.019666	16	37	22	0	7.625000	0.000000	2.609375	0.000000	0.375000	2.312500	0.062500	0.000000	9.437500	0.937500	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	16	16	1	1	1	37	1	53	16	0	0	0	0	0	0	0	0	0	0
8.020461	22	61	40	0	11.590909	0.000000	17.514463	0.000000	1.363636	2.590909	0.000000	0.000000	5.318183	0.000000	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	22	22	1	1	1	63	1	89	22	0	0	0	0	0	0	0	0	0	0
9.020795	26	76	51	0	13.038462	0.000000	20.960062	0.000000	1.076923	2.500000	0.076923	0.000000	6.500000	1.846154	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	26	26	1	1	1	78	1	115	26	0	0	0	0	0	0	0	0	0	0
