Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.013690	1	0.003401	452
10.013690	2	0.006803	144
10.013690	3	0.010204	95
10.013690	4	0.013605	53
10.013690	5	0.017007	30
10.013690	6	0.020408	43
10.013690	7	0.023810	15
10.013690	8	0.027211	24
10.013690	9	0.030612	15
10.013690	10	0.034014	6
10.013690	294	1.000000	3
10.013690	179	0.608844	1
10.013690	180	0.612245	1
10.013690	114	0.387755	1
10.013690	158	0.537415	4
10.013690	21	0.071429	6
10.013690	108	0.367347	7
10.013690	19	0.064626	13
10.013690	88	0.299320	5
10.013690	70	0.238095	6
10.013690	54	0.183673	5
10.013690	56	0.190476	6
10.013690	31	0.105442	8
10.013690	77	0.261905	1
10.013690	12	0.040816	13
10.013690	46	0.156463	2
10.013690	11	0.037415	12
10.013690	34	0.115646	3
10.013690	14	0.047619	4
10.013690	17	0.057823	7
10.013690	22	0.074830	3
10.013690	39	0.132653	3
10.013690	48	0.163265	1
10.013690	23	0.078231	4
10.013690	16	0.054422	6
10.013690	32	0.108844	1
10.013690	26	0.088435	1
10.013690	29	0.098639	1
10.013690	25	0.085034	1
10.013690	20	0.068027	5
10.013690	28	0.095238	3
10.013690	15	0.051020	4
10.013690	13	0.044218	3
10.013690	18	0.061224	1
20.000216	1	0.001949	960
20.000216	2	0.003899	494
20.000216	3	0.005848	221
20.000216	4	0.007797	199
20.000216	5	0.009747	77
20.000216	6	0.011696	70
20.000216	7	0.013645	75
20.000216	8	0.015595	43
20.000216	9	0.017544	63
20.000216	10	0.019493	24
20.000216	513	1.000000	9
20.000216	196	0.382066	12
20.000216	317	0.617934	38
20.000216	193	0.376218	4
20.000216	191	0.372320	1
20.000216	174	0.339181	2
20.000216	17	0.033138	40
20.000216	173	0.337232	32
20.000216	158	0.307992	4
20.000216	74	0.144250	4
20.000216	316	0.615984	18
20.000216	15	0.029240	20
20.000216	65	0.126706	3
20.000216	63	0.122807	3
20.000216	13	0.025341	28
20.000216	46	0.089669	5
20.000216	95	0.185185	2
20.000216	25	0.048733	5
20.000216	11	0.021442	43
20.000216	61	0.118908	3
20.000216	21	0.040936	8
20.000216	23	0.044834	37
20.000216	38	0.074074	2
20.000216	14	0.027290	32
20.000216	22	0.042885	10
20.000216	27	0.052632	10
20.000216	12	0.023392	17
20.000216	194	0.378168	2
20.000216	36	0.070175	5
20.000216	60	0.116959	5
20.000216	30	0.058480	2
20.000216	122	0.237817	1
20.000216	134	0.261209	2
20.000216	29	0.056530	1
20.000216	39	0.076023	2
20.000216	31	0.060429	23
20.000216	86	0.167641	1
20.000216	48	0.093567	2
20.000216	108	0.210526	1
20.000216	59	0.115010	2
20.000216	45	0.087719	2
20.000216	62	0.120858	1
20.000216	19	0.037037	7
20.000216	47	0.091618	4
20.000216	24	0.046784	6
20.000216	41	0.079922	1
20.000216	16	0.031189	4
20.000216	42	0.081871	1
