Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.021600	1	0.043478	0
10.021600	2	0.086957	0
10.021600	3	0.130435	0
10.021600	4	0.173913	0
10.021600	5	0.217391	0
10.021600	6	0.260870	0
10.021600	7	0.304348	0
10.021600	8	0.347826	0
10.021600	9	0.391304	0
10.021600	10	0.434783	0
10.021600	23	1.000000	1
20.040352	1	0.020408	0
20.040352	2	0.040816	0
20.040352	3	0.061224	0
20.040352	4	0.081633	0
20.040352	5	0.102041	0
20.040352	6	0.122449	0
20.040352	7	0.142857	0
20.040352	8	0.163265	0
20.040352	9	0.183673	0
20.040352	10	0.204082	0
20.040352	49	1.000000	1
30.066240	1	0.015873	0
30.066240	2	0.031746	0
30.066240	3	0.047619	0
30.066240	4	0.063492	0
30.066240	5	0.079365	0
30.066240	6	0.095238	0
30.066240	7	0.111111	0
30.066240	8	0.126984	0
30.066240	9	0.142857	0
30.066240	10	0.158730	0
30.066240	63	1.000000	1
40.089249	1	0.011628	0
40.089249	2	0.023256	0
40.089249	3	0.034884	0
40.089249	4	0.046512	0
40.089249	5	0.058140	0
40.089249	6	0.069767	0
40.089249	7	0.081395	0
40.089249	8	0.093023	0
40.089249	9	0.104651	0
40.089249	10	0.116279	0
40.089249	86	1.000000	1
50.108288	1	0.007937	0
50.108288	2	0.015873	0
50.108288	3	0.023810	0
50.108288	4	0.031746	0
50.108288	5	0.039683	0
50.108288	6	0.047619	0
50.108288	7	0.055556	0
50.108288	8	0.063492	0
50.108288	9	0.071429	0
50.108288	10	0.079365	0
50.108288	126	1.000000	1
60.124767	1	0.003559	0
60.124767	2	0.007117	0
60.124767	3	0.010676	0
60.124767	4	0.014235	0
60.124767	5	0.017794	0
60.124767	6	0.021352	0
60.124767	7	0.024911	0
60.124767	8	0.028470	0
60.124767	9	0.032028	0
60.124767	10	0.035587	0
60.124767	281	1.000000	1
70.137741	1	0.002421	0
70.137741	2	0.004843	0
70.137741	3	0.007264	0
70.137741	4	0.009685	0
70.137741	5	0.012107	0
70.137741	6	0.014528	0
70.137741	7	0.016949	0
70.137741	8	0.019370	0
70.137741	9	0.021792	0
70.137741	10	0.024213	0
70.137741	413	1.000000	1
80.161247	1	0.002119	0
80.161247	2	0.004237	0
80.161247	3	0.006356	0
80.161247	4	0.008475	0
80.161247	5	0.010593	0
80.161247	6	0.012712	0
80.161247	7	0.014831	0
80.161247	8	0.016949	0
80.161247	9	0.019068	0
80.161247	10	0.021186	0
80.161247	472	1.000000	1
90.173782	1	0.001953	0
90.173782	2	0.003906	0
90.173782	3	0.005859	0
90.173782	4	0.007812	0
90.173782	5	0.009766	0
90.173782	6	0.011719	0
90.173782	7	0.013672	0
90.173782	8	0.015625	0
90.173782	9	0.017578	0
90.173782	10	0.019531	0
90.173782	512	1.000000	1
100.182556	1	0.001949	0
100.182556	2	0.003899	0
100.182556	3	0.005848	0
100.182556	4	0.007797	0
100.182556	5	0.009747	0
100.182556	6	0.011696	0
100.182556	7	0.013645	0
100.182556	8	0.015595	0
100.182556	9	0.017544	0
100.182556	10	0.019493	0
100.182556	513	1.000000	1
110.190033	1	0.001949	0
110.190033	2	0.003899	0
110.190033	3	0.005848	0
110.190033	4	0.007797	0
110.190033	5	0.009747	0
110.190033	6	0.011696	0
110.190033	7	0.013645	0
110.190033	8	0.015595	0
110.190033	9	0.017544	0
110.190033	10	0.019493	0
110.190033	513	1.000000	1
120.197762	1	0.001949	0
120.197762	2	0.003899	0
120.197762	3	0.005848	0
120.197762	4	0.007797	0
120.197762	5	0.009747	0
120.197762	6	0.011696	0
120.197762	7	0.013645	0
120.197762	8	0.015595	0
120.197762	9	0.017544	0
120.197762	10	0.019493	0
120.197762	513	1.000000	1
130.205414	1	0.001949	0
130.205414	2	0.003899	0
130.205414	3	0.005848	0
130.205414	4	0.007797	0
130.205414	5	0.009747	0
130.205414	6	0.011696	0
130.205414	7	0.013645	0
130.205414	8	0.015595	0
130.205414	9	0.017544	0
130.205414	10	0.019493	0
130.205414	513	1.000000	1
140.215149	1	0.001949	0
140.215149	2	0.003899	0
140.215149	3	0.005848	0
140.215149	4	0.007797	0
140.215149	5	0.009747	0
140.215149	6	0.011696	0
140.215149	7	0.013645	0
140.215149	8	0.015595	0
140.215149	9	0.017544	0
140.215149	10	0.019493	0
140.215149	513	1.000000	1
150.222580	1	0.001908	0
150.222580	2	0.003817	0
150.222580	3	0.005725	0
150.222580	4	0.007634	0
150.222580	5	0.009542	0
150.222580	6	0.011450	0
150.222580	7	0.013359	0
150.222580	8	0.015267	0
150.222580	9	0.017176	0
150.222580	10	0.019084	0
150.222580	524	1.000000	1
160.226257	1	0.001927	0
160.226257	2	0.003854	0
160.226257	3	0.005780	0
160.226257	4	0.007707	0
160.226257	5	0.009634	0
160.226257	6	0.011561	0
160.226257	7	0.013487	0
160.226257	8	0.015414	0
160.226257	9	0.017341	0
160.226257	10	0.019268	0
160.226257	519	1.000000	1
170.229248	1	0.001905	0
170.229248	2	0.003810	0
170.229248	3	0.005714	0
170.229248	4	0.007619	0
170.229248	5	0.009524	0
170.229248	6	0.011429	0
170.229248	7	0.013333	0
170.229248	8	0.015238	0
170.229248	9	0.017143	0
170.229248	10	0.019048	0
