Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.013690	1	0.003401	23
10.013690	2	0.006803	5
10.013690	3	0.010204	2
10.013690	4	0.013605	2
10.013690	5	0.017007	1
10.013690	6	0.020408	2
10.013690	7	0.023810	0
10.013690	8	0.027211	1
10.013690	9	0.030612	0
10.013690	10	0.034014	0
10.013690	72	0.244898	1
10.013690	26	0.088435	1
10.013690	11	0.037415	1
10.013690	30	0.102041	1
10.013690	35	0.119048	1
10.013690	17	0.057823	1
10.013690	13	0.044218	1
10.013690	18	0.061224	1
20.000216	1	0.001949	54
20.000216	2	0.003899	25
20.000216	3	0.005848	6
20.000216	4	0.007797	12
20.000216	5	0.009747	2
20.000216	6	0.011696	6
20.000216	7	0.013645	1
20.000216	8	0.015595	2
20.000216	9	0.017544	1
20.000216	10	0.019493	0
20.000216	20	0.038986	1
20.000216	27	0.052632	1
20.000216	21	0.040936	2
20.000216	107	0.208577	1
20.000216	16	0.031189	1
20.000216	11	0.021442	1
20.000216	17	0.033138	1
20.000216	12	0.023392	1
20.000216	13	0.025341	1
