Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.013690	1	0.003401	294
10.013690	2	0.006803	0
10.013690	3	0.010204	0
10.013690	4	0.013605	0
10.013690	5	0.017007	0
10.013690	6	0.020408	0
10.013690	7	0.023810	0
10.013690	8	0.027211	0
10.013690	9	0.030612	0
10.013690	10	0.034014	0
20.000216	1	0.001949	513
20.000216	2	0.003899	0
20.000216	3	0.005848	0
20.000216	4	0.007797	0
20.000216	5	0.009747	0
20.000216	6	0.011696	0
20.000216	7	0.013645	0
20.000216	8	0.015595	0
20.000216	9	0.017544	0
20.000216	10	0.019493	0
