Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	S1Mutations	S2Mutations	S3Mutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	0	0	0	1.000000	0.000088	0.000000	513
0	0	1	0	0	0	1	7	2	5	0	1.000000	0.000088	0.438882	513
0	5	7	1	1	0	1	13	6	8	0	1.426829	0.000088	1.277978	513
0	1	4	0	0	0	1	9	3	6	0	1.000000	0.000088	0.672488	513
0	4	5	1	1	0	1	12	6	7	0	1.426829	0.000088	0.791067	513
0	7	9	1	1	0	1	20	10	11	0	1.426829	0.000088	1.381537	513
0	9	12	1	1	0	1	28	15	14	0	1.426829	0.000088	1.507355	513
0	12	15	1	1	0	1	35	19	17	0	1.426829	0.000088	1.560051	513
0	63	98	1	1	0	1	41	23	19	0	1.426829	0.000088	2.873081	196
0	97	116	1	1	0	1	51	25	25	2	1.426829	0.000088	3.421276	317
0	15	63	1	1	0	1	39	21	19	0	1.426829	0.000088	2.381659	513
0	63	97	1	1	0	1	46	23	23	1	1.426829	0.000088	2.873081	317
0	201	235	9	2	0	1	75	36	33	8	1.589032	0.000088	4.673704	196
0	171	184	1	1	0	1	66	33	29	5	1.426829	0.000088	4.263425	196
0	98	131	1	1	0	1	48	27	22	0	1.426829	0.000088	3.704293	196
0	116	122	1	1	0	1	53	26	25	3	1.426829	0.000088	3.568775	317
0	220	248	1	1	0	1	62	28	28	7	1.426829	0.000088	4.816175	317
0	131	159	1	1	0	1	55	29	24	3	1.426829	0.000088	3.989305	196
0	159	171	1	1	0	1	60	31	26	4	1.426829	0.000088	4.186813	196
0	262	279	9	2	0	1	97	43	41	15	1.589032	0.000088	5.097212	196
0	491	507	9	2	0	1	121	52	52	19	1.589032	0.000088	6.681462	3
0	235	241	9	2	0	1	83	38	36	11	1.589032	0.000088	4.720158	196
0	184	201	9	2	0	1	70	34	32	6	1.589032	0.000088	4.380543	196
0	241	246	9	2	0	1	88	39	38	13	1.589032	0.000088	4.753157	196
0	248	260	1	1	0	1	65	28	30	8	1.426829	0.000088	4.860204	317
0	122	220	1	1	0	1	58	27	27	5	1.426829	0.000088	4.508986	317
0	246	262	9	2	0	1	94	42	40	14	1.589032	0.000088	4.878631	196
0	260	285	1	1	0	1	72	31	31	11	1.426829	0.000088	5.129994	317
0	453	491	9	2	0	1	113	49	48	18	1.589032	0.000088	6.620260	3
0	285	358	1	1	0	1	78	34	34	11	1.426829	0.000088	5.803480	317
0	279	370	9	2	0	1	102	45	43	16	1.589032	0.000088	5.925363	196
0	358	424	1	1	0	1	82	35	34	14	1.426829	0.000088	6.302844	317
0	586	625	1	1	0	1	99	41	43	16	1.426829	0.000088	7.169967	317
0	424	446	1	1	0	1	84	35	35	15	1.426829	0.000088	6.413994	317
0	446	448	1	1	0	1	88	36	38	15	1.426829	0.000088	6.430506	317
0	370	453	9	2	0	1	107	48	45	16	1.589032	0.000088	6.470342	3
0	370	454	9	2	0	1	105	45	44	18	1.589032	0.000088	6.470342	193
0	448	586	1	1	0	1	90	37	39	15	1.426829	0.000088	7.031259	317
0	762	836	9	2	0	1	125	54	52	21	1.589032	0.000088	7.837497	191
0	454	610	9	2	0	1	112	48	46	20	1.589032	0.000088	7.100285	193
0	507	670	9	2	0	1	123	54	52	19	1.589032	0.000088	7.333775	3
0	610	684	9	2	0	1	117	50	48	21	1.589032	0.000088	7.378580	193
0	670	754	31	3	0	1	129	57	54	21	1.802891	0.000088	7.579695	3
0	684	762	9	2	0	1	123	54	50	21	1.589032	0.000088	7.612547	193
0	625	791	1	1	0	1	103	43	45	16	1.426829	0.000088	7.698946	317
0	754	896	31	3	0	1	134	60	55	22	1.802891	0.000088	7.997516	3
0	762	837	9	2	0	1	125	55	50	22	1.589032	0.000088	7.837497	2
0	836	858	9	2	0	1	128	55	53	22	1.589032	0.000088	7.890522	174
0	836	859	9	2	0	1	126	54	52	22	1.589032	0.000088	7.890522	17
0	1163	1392	38	3	0	1	138	60	55	26	1.772483	0.000088	9.047386	2
0	837	975	38	3	0	1	128	56	50	25	1.772483	0.000088	8.243532	2
0	859	1122	9	2	0	1	133	56	55	24	1.589032	0.000088	8.513829	17
0	858	1011	9	2	0	1	132	55	55	24	1.589032	0.000088	8.313293	174
0	791	1051	1	1	0	1	110	45	48	18	1.426829	0.000088	8.410603	317
0	1087	1173	9	2	0	1	153	67	60	28	1.589032	0.000088	8.616813	173
0	1183	1245	31	3	0	1	148	65	59	27	1.802891	0.000088	8.782409	3
0	1011	1086	9	2	0	1	139	58	57	26	1.589032	0.000088	8.476629	1
0	1011	1087	9	2	0	1	140	60	57	25	1.589032	0.000088	8.476629	173
0	1051	1386	1	1	0	1	113	46	48	20	1.426829	0.000088	9.043839	317
0	2362	2657	70	2	0	1	166	66	62	40	1.607391	0.000088	10.609092	317
0	975	1163	38	3	0	1	133	59	52	25	1.772483	0.000088	8.586779	2
0	2228	2691	31	3	0	1	171	75	66	33	1.802891	0.000088	10.641325	3
0	896	1183	31	3	0	1	141	62	56	26	1.802891	0.000088	8.632496	3
0	1122	1271	9	2	0	1	137	57	56	26	1.589032	0.000088	8.863041	17
0	1245	1325	31	3	0	1	152	68	60	27	1.802891	0.000088	8.950332	3
0	1173	1336	9	2	0	1	159	69	64	28	1.589032	0.000088	8.976071	173
0	1336	1347	9	2	0	1	164	71	65	30	1.589032	0.000088	8.991887	173
0	2476	3491	38	3	0	1	158	68	62	31	1.772483	0.000088	11.359037	2
0	1086	1358	9	2	0	1	142	59	59	26	1.589032	0.000088	9.013647	1
0	1873	2252	38	3	0	1	149	65	59	28	1.772483	0.000088	10.159779	2
0	1271	1402	9	2	0	1	141	59	57	27	1.589032	0.000088	9.067556	17
0	1386	1609	70	2	0	1	117	49	48	22	1.607391	0.000088	9.367107	317
0	1358	1451	9	2	0	1	149	64	60	27	1.589032	0.000088	9.123496	1
0	2425	2503	89	3	0	1	186	79	69	41	1.750568	0.000088	10.441413	173
0	1325	1474	31	3	0	1	158	70	62	29	1.802891	0.000088	9.163508	3
0	1402	1505	9	2	0	1	144	60	57	29	1.589032	0.000088	9.205688	17
0	1474	2228	31	3	0	1	166	73	64	32	1.802891	0.000088	10.133062	3
0	1347	2003	9	2	0	1	167	73	65	31	1.589032	0.000088	9.870468	173
0	1392	1873	38	3	0	1	142	62	56	27	1.772483	0.000088	9.725616	2
0	3417	3431	106	3	0	1	185	79	73	36	1.696349	0.000088	11.313902	1
0	1451	2451	9	2	0	1	152	65	60	29	1.589032	0.000088	10.388124	1
0	2003	2088	89	3	0	1	170	75	67	31	1.750568	0.000088	9.990129	173
0	3196	3208	141	3	0	1	156	65	60	34	1.606469	0.000088	11.116271	17
0	1609	2178	70	2	0	1	124	51	50	25	1.607391	0.000088	10.086976	317
